year,avg_temp_HH,7day_ma_HH,avg_temp_gl,7day_ma_gl
1750,9.31,,8.72,
1751,8.94,,7.98,
1752,4.65,,5.78,
1753,8.12,,8.39,
1754,7.88,,8.47,
1755,7.69,,8.36,
1756,8.64,7.89,8.85,8.08
1757,8.48,7.77,9.02,8.12
1758,7.76,7.6,6.74,7.94
1759,8.69,8.18,7.99,8.26
1760,8.36,8.21,7.19,8.09
1761,8.86,8.35,8.77,8.13
1762,7.81,8.37,8.61,8.17
1763,7.8,8.25,7.5,7.97
1764,8.25,8.22,8.4,7.89
1765,7.91,8.24,8.25,8.1
1766,8.27,8.18,8.41,8.16
1767,7.59,8.07,8.22,8.31
1768,7.64,7.9,6.78,8.02
1769,7.97,7.92,7.69,7.89
1770,7.98,7.94,7.69,7.92
1771,7.1,7.78,7.85,7.84
1772,8.26,7.83,8.19,7.83
1773,8.94,7.93,8.22,7.81
1774,7.76,7.95,8.77,7.88
1775,9.27,8.18,9.18,8.23
1776,8,8.19,8.3,8.31
1777,7.79,8.16,8.26,8.4
1778,8.68,8.39,8.54,8.49
1779,9.91,8.62,8.98,8.61
1780,8.27,8.53,9.43,8.78
1781,9.32,8.75,8.1,8.68
1782,7.67,8.52,7.9,8.5
1783,9.08,8.67,7.68,8.41
1784,6.92,8.55,7.86,8.36
1785,7.02,8.31,7.36,8.19
1786,7.06,7.91,8.26,8.08
1787,8.5,7.94,8.03,7.88
1788,7.82,7.72,8.45,7.93
1789,8.29,7.81,8.33,8
1790,8.48,7.73,7.98,8.04
1791,8.79,7.99,8.23,8.09
1792,8.32,8.18,8.09,8.2
1793,8.51,8.39,8.23,8.19
1794,9.24,8.49,8.53,8.26
1795,8.04,8.52,8.35,8.25
1796,8.46,8.55,8.27,8.24
1797,9.16,8.65,8.51,8.32
1798,8.83,8.65,8.67,8.38
1799,6.31,8.36,8.51,8.44
1800,7.9,8.28,8.48,8.47
1801,8.8,8.21,8.59,8.48
1802,8.21,8.24,8.58,8.52
1803,7.39,8.09,8.5,8.55
1804,7.79,7.89,8.84,8.6
1805,6.72,7.59,8.56,8.58
1806,8.78,7.94,8.43,8.57
1807,8.44,8.02,8.28,8.54
1808,7.7,7.86,7.63,8.4
1809,7.91,7.82,7.08,8.19
1810,7.76,7.87,6.92,7.96
1811,9.25,8.08,6.86,7.68
1812,6.91,8.11,7.05,7.46
